Disease,Symptoms,Medication
Stomach Cancer,"Joint pain, stiffness, difficulty moving","Surgery, Chemotherapy, Radiation therapy"
Pancreatic Cancer,"Fatigue, weakness, paleness","Surgery, Chemotherapy"
Brain Tumor,"Fatigue, shortness of breath, rapid heart rate","Surgery, Chemotherapy, Radiation therapy"
Cervical Cancer,"Fatigue, weakness, yellowing of skin and eyes","Surgery, Chemotherapy, Radiation therapy"
Esophageal Cancer,"Cognitive delays, distinctive facial features","Chemotherapy, Immunotherapy"
Lymphoma,"Short stature, webbed neck, infertility","Chemotherapy, Immunotherapy"
Myeloma,"Tall stature, long limbs, heart problems","Surgery, Chemotherapy, Radiation therapy"
Sarcoma,Progressive neurodegenerative disorder,"Surgery, Chemotherapy, Radiation therapy"
Mesothelioma,"Motor and vocal tics, repetitive movements","Replacement therapy, Clotting factor concentrates"
Hemophilia,"Impaired social interaction, communication difficulties","Hydroxyurea, Blood transfusions"
Sickle Cell Anemia,"Fatigue, Weakness, Pale or jaundiced skin, Shortness of breath, Rapid heart rate","Blood transfusions, Iron chelation therapy"
Thalassemia,"Fatigue, weakness, pale or jaundiced skin, delayed growth","Therapeutic phlebotomy, Iron chelation therapy"
Hemochromatosis,"Fatigue, joint pain, abdominal pain, bronze or grayish skin",Early intervention programs
Down Syndrome,"Intellectual disability, distinct facial features, poor muscle tone","Hormone therapy, Growth hormone"
Turner Syndrome,"Short stature, webbed neck, infertility","Beta-blockers, Surgery"
Marfan Syndrome,"Tall stature, long limbs, heart problems","Symptomatic treatment, Supportive care"
Huntington's Disease,Progressive neurodegenerative disorder,"Behavioral therapy, Medications"
Tourette Syndrome,"Motor and vocal tics, repetitive movements","Behavioral therapy, Medications"
Autism Spectrum Disorder (ASD),"Impaired social interaction, communication difficulties","Behavioral therapy, Medications"
Celiac Disease,"Abdominal pain, diarrhea, weight loss","Gluten-free diet, Immunomodulators"
Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating, changes in bowel habits","Dietary changes, Antispasmodic medications"
Lupus,"Joint pain, skin rash, fatigue","NSAIDs, Corticosteroids"
Psoriasis,"Red, itchy, scaly skin","Topical treatments, Phototherapy"
Eczema,"Dry, itchy, inflamed skin","Emollients, Topical corticosteroids"
Melanoma,"Changes in moles, asymmetry, irregular borders","Surgery, Immunotherapy"
Hypoglycemia,"Shakiness, sweating, irritability","Dietary adjustments, Medications"
Rheumatic Fever,"Fever, joint pain, rash","Enzyme replacement therapy, Pain management"
Leukemia,"Fatigue, weakness, unexplained weight loss","Pain relievers, Alpha-blockers"
Pancreatitis,"Abdominal pain, nausea, vomiting","Antibiotics, Antiviral medications"
Kidney Stones,"Back or abdominal pain, blood in urine",Antibiotics
Meningitis,"Headache, neck stiffness, fever","NSAIDs, Colchicine"
Tuberculosis,"Persistent cough, weight loss, fatigue","Dietary changes, Fiber supplements"
Gout,"Swelling, pain, tenderness in joints","Surgery, Antibiotics"
Diverticulitis,"Abdominal pain, changes in bowel habits",Antibiotics
Appendicitis,"Abdominal pain, fever, vomiting",Antibiotics
Osteomyelitis,"Pain, swelling, redness in affected area",Antibiotics
Ovarian Cancer,"Abdominal pain, bloating, changes in bowel habits","Chemotherapy, Radiation therapy"
Testicular Cancer,"Testicular pain or swelling, lumps","Chemotherapy, Radiation therapy"
Breast Cancer,"Breast lump, changes in breast appearance","Surgery, Chemotherapy, Radiation therapy"
